index,mbti,movie
20,"Augustus Gloop(ESFP),Oompa Loompas(ESFP),Ms. Beauregard(ESFJ),Mrs. Gloop(ESFJ),Veruca Salt(ESTJ),Mr. Salt(ESTJ),Willy Wonka(ENFP),Violet Beauregard(ENTJ),Mr. Bucket(ISFP),Charlie Bucket(ISFJ),Mrs. Bucket(ISFJ),Grandma Josephine(ISFJ),Mike Teavee(ISTP),Grandpa George(ISTP),Wilbur Wonka(ISTJ),Mr. Teavee(ISTJ),Grandpa Joe(INFP),",   Charlie and the Chocolate Factory (2005)
21,"Mater(ESFP),Ramone(ESFP),Francesco Bernoulli(ESFP),Sally Carrera(ESFJ),Darrell Cartrip(ESFJ),Lightning McQueen(ESTP),Chick Hicks(ESTP),Jackson Storm(ESTP),Sarge(ESTJ),Sarge(ESTJ),Luigi(ENFP),Boost(XXXX),Guido(ENFJ),Cruz Ramirez(ENFJ),Natalie Certain(ENFJ),Harv (The World's Greatest Agent)(ENTP),DJ(ENTJ),Fillmore(ISFP),Mack(ISFJ),Finn McMissile(ISTP),Snot-Rod(ISTP),Doc Hudson(ISTJ),Sheriff(ISTJ),Rod Redline(ISTJ),Smokey(ISTJ),Red(INFP),Wingo(INFP),Strip Weathers ""The King""(INFJ),Professor Z(INTJ),",   Cars (Franchise)
22,"Dug(ESFP),Gamma(ESFP),Omega(ESFP),Russell(ESFJ),Beta(ESTP),Ellie(ENFP),Charles Muntz(ENTJ),Carl Fredricksen(ISTJ),Alpha(INTJ),",   Up (2009)
23,"Frederico Corleone(ESFP),Peter Clamenza(ESFP),Don Fanucci(ESFP),Don Fanucci(ESFP),Philip Tattaglia(ESFP),Sandra Corleone(ESFJ),Santino Corleone(ESTP),Carlo Rizzi(ESTP),Vincent Corleone(ESTP),Vincent Corleone(ESTP),Vincent Corleone(ESTP),Captain McCluskey(ESTJ),Hyman Roth(ESTJ),Don Ciccio(ESTJ),Don Ciccio(ESTJ),Moe Greene(ENFJ),Johnny Fontane(ENFJ),Frank Pentangelli(ENTP),Jack Woltz(ENTJ),Emilio Barzini(ENTJ),Emilio Barzini(ENTJ),Bruno Tattaglia(ENTJ),Apollonia(ISFP),Constanzia Corleone(ISFP),Mary Corleone(ISFP),Kay Adams(ISFJ),Bonasera(ISFJ),Al Neri(ISTP),Willie Cicci(ISTP),Tom Hagen(ISTJ),Luca Brazi(ISTJ),Paulie Gatto(INFP),Don Vito Corleone(INFJ),Michael Corleone(INTJ),Virgil Sollozzo(INTJ),Virgil Sollozzo(INTJ),Oranges(INTJ),",   The Godfather
24,"Peter Kavinsky(ESFP),Genevieve(ESFJ),Genevieve(ESFJ),Chris(ESTP),Kitty Covey(ENTP),Margot Covey(ISTJ),Lara Jean Covey(INFP),John Ambrose Mcclaren(INFJ),Josh(INFJ),",   To All the Boys I've Loved Before (2018)
25,"Clawhauser(ESFP),Stu Hopps(ESFP),Gazelle(ESFP),Bonnie Hopps(ESFJ),Mayor Lionheart(ESFJ),Mayor Lionheart(ESFJ),Gideon Grey(ESFJ),Chief Bogo(ESTJ),Judy Hopps(ENFJ),Nick Wilde(ENTP),Flash Slothmore(ENTP),Mr. Big(ENTJ),Yax(ISFP),Dawn Bellwether(ISFJ),Mrs. Otterton(ISFJ),Mrs. Otterton(ISFJ),Mrs. Otterton(ISFJ),Mrs. Otterton(ISFJ),Finnick(ISTP),Duke Weaselton(ISTP),Duke Weaselton(ISTP),Travis(INTJ),",   Zootopia (2016)
26,"Jonathan(ESFP),Murray(ESFP),Winnie(ESFP),Wanda(ESFJ),Ericka Van Helsing(ESTJ),Eunice(ESTJ),Mavis(ENFP),Dennis(ENFP),Dennis(ENFP),Griffin(ENTP),Blobby(ISFP),Frankenstein(ISFJ),Count Dracula(ISTJ),Vlad(ISTJ),Vlad(ISTJ),",   Hotel Transylvania (2012)
27,"David Mills(ESFP),Tracy Mills(ISFJ),John Doe(INFJ),William Somerset(INTP),",   Se7en (1995)
28,"Heather Duke(ESFP),Heather McNamara(ESFJ),Ram Sweeney(ESTP),Kurt Kelly(ESTP),Heather Chandler(ESTJ),Pauline Fleming(ENFP),Jason Dean ""J.D.""(ENTP),Betty Finn(ISFJ),Martha Dunnstock(INFP),Veronica Sawyer(INFJ),",   Heathers (1988)
29,"Agent J / James Darrell Edwards III(ESFP),Scrad(ESFP),Jack Jeebs(ESTP),Jack Jeebs(ESTP),Boris The Animal(ESTP),Agent H / Henry(ESTP),Charlie (Symbiote)(ESTP),The Bug / Edgar the Bug(ESTJ),Edgar (Farmer)(ESTJ),INS Agent Janus(ESTJ),Chief X (1969 MIB Chief)(ESTJ),Griffin(ENFP),Agent M / Molly Wright(ENTP),Agent M / Molly Wright(ENTP),Frank the Pug(ENTP),Serleena Xath(ENTJ),Jeff (Alien)(ISFP),Lilly Poison(ISFP),Laura Vasquez(ISFJ),Mikey (Alien)(ISTP),The Twins(ISTP),Agent K / Kevin Brown(ISTJ),Agent C(ISTJ),Agent M / ""Michael Jackson""(INTP),Newton(INTP),Agent L / Laurel Weaver(INTJ),Agent O(INTJ),",   Men in Black
30,"Gobber(ESFP),Tuffnut(ESFP),Tuffnut(ESFP),Snotlout(ESTP),Ruffnut(ESTP),Stoick the Vast(ESTJ),Ryker(ESTJ),Hookfang(ESTJ),Pouncer(ENFP),Zephyr(ENTP),Dagur the Deranged(ENTP),Mala(ENTP),Mala(ENTP),Dart(ENTP),Drago(ENTJ),Krogan(ENTJ),Toothless(ISFP),Fishlegs(ISFP),Meatlug(ISFP),Stormfly(ISTP),Astrid(ISTJ),Valka(INFJ),Ruffrunner(INFJ),Hiccup Horrendous Haddock III(INTP),Trader Johann(INTP),Grimmel(INTJ),Viggo(INTJ),",   How to Train Your Dragon (Franchise)
31,"Lumiere(ESFP),LeFou(ESFP),Fifi(ESFP),Fifi(ESFP),Paulette(ESFP),Mrs. Potts(ESFJ),Wardrobe(ESFJ),Wardrobe(ESFJ),Gaston(ESTP),Chip(ENFP),The Beast(ISFP),Angelique(ISFJ),Cogsworth(ISTJ),Belle(INFP),Enchantress(INFJ),Maurice(INTP),Forte(INTJ),",   Beauty and the Beast (1991)
32,"Scrat(ESFP),Crash(ESFP),Eddie(ESFP),Ellie(ESFJ),Zeke(ESTP),Sid(ENFP),Brooke(ENFP),Brooke(ENFP),Julian(ENFP),Buck(ENTP),Granny(ENTJ),Peaches(ISFP),Shira(ISFP),Louis(ISFJ),Louis(ISFJ),Lenny(ISFJ),Diego(ISTP),Manny(ISTJ),Soto(ISTJ),Oscar(XXXX),",   Ice Age (Franchise)
33,"Monkey(ESFP),Mr. Ping(ESFJ),Viper(ESFJ),Mantis(ESTP),Po(ENFP),Li Shen(ENFP),Boss Wolf(ENTP),Lord Shen(ENTJ),Master Thundering Rhino(ENTJ),Master Thundering Rhino(ENTJ),Crane(ISFJ),Tai Lung(ISTP),Tigress(ISTJ),Master Shifu(ISTJ),Master Oogway(INFJ),Soothsayer(INFJ),",   Kung Fu Panda (franchise)
34,"Ryan Evans(ESFP),Martha Cox(ESFP),Troy Bolton(ESFJ),Ms. Darbus(ESFJ),Chad Danforth(ESTP),Taylor McKessie(ESTJ),Coach Jack Bolton(ESTJ),Coach Jack Bolton(ESTJ),Zeke Baylor(ENFP),Zeke Baylor(ENFP),Sharpay Evans(ENTJ),Gabriella Montez(ISFP),Jason Cross(ISFJ),Jason Cross(ISFJ),Kelsi(INFP),",   High School Musical (Film Trilogy)
35,"Eddie Brock ""Venom""(ESFP),Betty Brant(ESFJ),Betty Brant(ESFJ),Black Spider-Man(ESTP),Bone Saw Mcgraw(ESTP),J. Jonah Jameson(ESTJ),Harry Osborn(ENFP),Ben Parker(ENFJ),Gwen Stacy(ENFJ),Gwen Stacy(ENFJ),Norman Osborn ""Green Goblin""(ENTJ),Mary Jane Watson(ISFP),Flint Marko ""Sandman""(ISFP),Flint Marko ""Sandman""(ISFP),May Parker(ISFJ),Ursula Ditkovich(ISFJ),Ursula Ditkovich(ISFJ),Ursula Ditkovich(ISFJ),Joseph ""Robbie"" Robertson(ISFJ),Dennis Carradine(ISTP),Mr. Aziz(ISTJ),Dr Curt Connors(ISTJ),Peter Parker ""Spider-Man""(INFP),Dr. Otto Octavius ""Doctor Octopus""(INTJ),",   The Spider-Man Trilogy
36,"Billy Batson ""Shazam""(ESFP),Victor Zsasz(ESFP),Sameer(ESFP),Darla Dudley(ESFJ),Etta Candy(ESFJ),Etta Candy(ESFJ),The Joker(ESTP),Arthur Curry ""Aquaman""(ESTP),Arthur Curry ""Aquaman""(ESTP),Steve Trevor(ESTP),Roman Sionis ""Black Mask""(ESTP),Digger Harkness ""Captain Boomerang""(ESTP),Waylon Jones ""Killer Croc""(ESTP),Dru-Zod ""General Zod""(ESTJ),Rick Flag(ESTJ),Steppenwolf(ESTJ),Jesse Kane(ESTJ),King Nereus(ESTJ),Harleen Quinzel ""Harley Quinn""(ENFP),Lois Lane(ENFP),Diana Prince ""Wonder Woman""(ENFJ),Queen Atlanna(ENFJ),Lex Luthor(ENTP),Freddy Freeman(ENTP),Maxwell Lord IV(ENTP),Charlie(ENTP),Amanda Waller(ENTJ),Antiope(ENTJ),Antiope(ENTJ),Antiope(ENTJ),Erich Ludendorff(ENTJ),Billy Batson(ISFP),Mera(ISFP),Chato Santana ""El Diablo""(ISFP),Barbara Ann Minerva “Cheetah”(ISFP),Clark Kent ""Superman""(ISFJ),Alfred Pennyworth(ISFJ),Thomas Curry(ISFJ),Floyd Lawton ""Deadshot""(ISTP),Dinah Lance ""Black Canary""(ISTP),Cassandra Cain(ISTP),Christopher Weiss ""Slipknot""(ISTP),Doomsday(ISTP),Tatsu Yamashiro ""Katana""(ISTJ),Orm Marius ""Ocean Master""(ISTJ),Victor Stone ""Cyborg""(ISTJ),Victor Stone ""Cyborg""(ISTJ),James Gordon(ISTJ),Renee Montoya(ISTJ),Renee Montoya(ISTJ),Senator June Finch(ISTJ),Barry Allen ""The Flash""(INFP),Pedro Peña(XXXX),Chief(INFP),June Moone ""Enchantress""(INFJ),Hippolyta(INFJ),Mary Bromfield(INFJ),Doctor Poison(INTP),Nuidis Vulko(INTP),Jonathan Kent(INTP),Eugene Choi(INTP),Eugene Choi(INTP),Silas Stone(INTP),Bruce Wayne ""Batman""(INTJ),Helena Bertinelli ""Huntress""(INTJ),Ares(INTJ),Black Manta(INTJ),Doctor Sivana(INTJ),",   DC Extended Universe
37,"Mowgli(ESFP),Baloo(ESFP),Flaps(ESFJ),King Louie(ESTP),King Louie(ESTP),Colonel Hathi(ESTJ),Ranjan(ENFP),Buzzie(ENFP),Akela(ENFJ),Shere Khan(ENTJ),Ziggy(ISFP),Dizzy(ISTP),Bagheera(ISTJ),Grey Brother(INFP),Kaa(INFJ),Raksha(INFJ),",   The Jungle Book (1967)
38,"Elle Evans(ESFP),Gwyneth(ESFP),Olivia(ESFP),Mia(ESFP),Ms. Flynn(ESFJ),Noah Flynn(ESTP),Marco(ESTP),Chloe(ENFJ),Chloe(ENFJ),Rachel(ISFJ),",   The Kissing Booth
39,"Hal Stewart(ESFP),Metro Man (Wayne Scott)(ESTP),Warden(ESTJ),Lady Sally Scott(ENFP),Minion(ENFJ),Megamind's Father(ENFJ),Megamind(ENTP),Megamind Bernard(ENTP),Mega-Megamind(ENTJ),Mayor(ISFJ),Megamind's Mother(ISFJ),Bernard(ISTJ),Lord Robert Scott(ISTJ),Roxanne Ritchi(INFJ),",   Megamind (2010)
40,"Angela Hayes(ESFP),Carolyn Burnham(ESTJ),Buddy Kane(ENTJ),Jane Burnham(ISFP),Colonel Frank Fitts(ISTJ),Lester Burnham(INFP),Ricky Fitts(INTP),",   American Beauty (1999)
41,"Other Father(ESFP),Miss Miriam Forcible(ESFP),Miss Miriam Forcible(ESFP),Other Spink(ESFP),Other Forcible(ESFP),Mr. Sergei Alexander Bobinsky(ESTP),Other Bobinsky(ESTP),Other Mother(ENFJ),Miss April Spink(ENFJ),Tall Ghost Girl(ENFJ),Wyborne 'Wybie' Lovat(ENTP),Wybie's Grandmother(ISFJ),Wybie's Grandmother(ISFJ),Lovat Ghost Girl(ISFJ),Lovat Ghost Girl(ISFJ),Mel Jones(ISTJ),Coraline Jones(INFP),Other Wyborne (Wybie)(INFP),Ghost Boy(INFP),The Cat(INTP),Charlie Jones(INTP),",   Coraline (2009)
42,"Freddie Mercury(ESFP),John Deacon(ISFJ),Paul Prenter(ISTP),Jim Hutton(ISTP),Mary Austin(INFJ),Brian May(INTP),John Reid(INTJ),",   Bohemian Rhapsody (2018)
43,"Erika(ESFP),Madame Carp(ESTJ),Preminger(ENTP),Princess Anneliese(ISFJ),Julian(INTP),",   Barbie as the Princess and the Pauper (2004)
44,"Daniel LaRusso(ESFP),Lucille LaRusso(ESFP),Lucille LaRusso(ESFP),Ali Mills(ESFJ),Johnny Lawrence(ESTP),Terry Silver(ESTP),Dutch(ESTP),John Kreese(ESTJ),John Kreese(ESTJ),Chozen Toguchi(ESTJ),Chozen Toguchi(ESTJ),Chozen Toguchi(ESTJ),Bobby(ENFJ),Tommy(ENTP),Mike Barnes(ISTP),Sato Toguchi(ISTJ),Jimmy(ISTJ),Kumiko(INFP),Mr. Miyagi(INFJ),",   Karate Kid (1984)
45,"Mary ""Boo"" Gibbs(ESFP),Celia Fearmonger(ESFJ),Abominable Snowman(ESFJ),Henry J. Waternoose III(ESTJ),Roz(ESTJ),Michael ""Mike"" Wazowski(ENTP),James P. ""Sulley"" Sullivan(ISFP),Fungus(ISFJ),Randall Boggs(INTJ),","   Monsters, Inc. (2001)"
46,"Kili(ESFP),Master of Laketown(ESFP),Master of Laketown(ESFP),Dori(ESFJ),Dori(ESFJ),Hilda Bianca(ESFJ),Fili(ESTP),Goblin King(ESTP),Alfrid(ESTP),Azog(ESTJ),Dwalin(ESTJ),Dwalin(ESTJ),Dáin II Ironfoot(ESTJ),Thror(ESTJ),Lobelia Sackville-Baggins(ESTJ),Bofur(ENFP),Bofur(ENFP),Tauriel(ENFJ),Bombur(ENTP),Thranduil(ENTJ),Ori(ISFP),Bilbo Baggins(ISFJ),Oin(ISFJ),Sigrid(ISFJ),Tilda(ISFJ),Thrain(ISFJ),Bard(ISTP),Beorn(ISTP),Nori(ISTP),Nori(ISTP),Bifur(ISTP),Bifur(ISTP),Thorin Oakenshield(ISTJ),Gloin(ISTJ),Bain(ISTJ),Radagast(INFP),Balin(INFJ),Smaug(INTP),",   The Hobbit
47,"Lance Corporal Tom Blake(ESFP),Lieutenant Joseph Blake(ENFJ),Lieutenant Leslie(ENTP),Lieutenant Leslie(ENTP),Lance Corporal William Schofield(ISFJ),Colonel Mackenzie(ISTJ),Captain Smith(INFJ),",   1917 (2019)
48,"Daisy Buchanan(ESFP),Myrtle Wilson(ESFP),Myrtle Wilson(ESFP),Tom Buchanan(ESTJ),Jay Gatsby(ENFJ),Nick Carraway(ISFJ),Jordan Baker(ISTP),George Wilson(ISTP),",   The Great Gatsby (2013)
49,"Dr. Frank-N-Furter(ESFP),Eddie(ESFP),Eddie(ESFP),The Criminologist(ESTJ),Rocky(ISFP),Janet Weiss(ISFJ),Brad Majors(ISTJ),Riff Raff(ISTJ),Dr. Everett V. Scott(ISTJ),",   The Rocky Horror Picture Show (1975)
50,"Gary 'Eggsy' Unwin / Galahad(ESFP),Tequila(ESFP),Princess Tilde(ESFJ),Princess Tilde(ESFJ),Champ(ESTP),James Spencer / Lancelot(ESTP),Whiskey / Jack Daniels(ESTJ),Richmond Valentine(ENFP),Roxy Morton / Lancelot(ENFJ),Chester King / Arthur(ENTJ),Poppy Adams(ENTJ),Poppy Adams(ENTJ),Harry Hart / Galahad(ISTJ),Ginger Ale(INTP),Merlin(INTJ),",   Kingsman
51,"Debora(ESFP),Jason Van Horn ""Buddy""(ESTP),Bats(ESTP),Griff(ESTJ),Baby(ISFP),Doc(ISTJ),",   Baby Driver (2017)
52,"Prince Charming(ESFP),Fairy Godmother(ESFJ),Lady Tremaine (Evil Stepmother)(ESTJ),Drizella(ESTJ),Bruno(ENFJ),Jaq(ENTP),Mary(ENTP),Cinderella(ISFJ),Grand Duke(ISFJ),Grand Duke(ISFJ),Lucifer(INTJ),",   Cinderella (1950)
53,"Fawn(ESFP),Rosetta(ESFJ),Rumble(ESTP),Sled(ESTP),Fairy Mary(ESTJ),Tinker Bell(ENFP),Gliss(ENFP),Gliss(ENFP),Gliss(ENFP),Queen Clarion(ENFJ),Hook(ENFJ),Zarina(ENTP),Dewey(ENTP),Blaze(ISFP),Blaze(ISFP),Blaze(ISFP),Gruff(ISFP),Iridessa(ISFJ),Terence(ISFJ),Vidia(ISTJ),Nyx(ISTJ),Nyx(ISTJ),Dr. Griffiths(ISTJ),Silvermist(INFP),Periwinkle(INFJ),Bobble(INTP),Spike(INTP),Glimmer(INTP),",   Tinker Bell (2008)
54,"Donny ""The Bear Jew"" Donowitz(ESFP),Fredrick Zoller(ESFJ),Joseph Goebbels(ESFJ),Aldo Raine(ESTP),Adolf Hitler(ESTJ),Bridget von Hammersmark(ENFJ),Hans Landa(ENTP),Dieter Hellstrom(ENTJ),Smithson Utivich(ISFP),Perrier LaPadite(ISFJ),Marcel(ISFJ),Hugo Stiglitz(ISTP),Werner(ISTJ),Shosanna Dreyfus(INTJ),",   Inglourious Basterds (2009)
55,"Mayor(ESFP),Zero(ESFP),Oogie Boogie(ESTP),Lock(ESTP),Creature Under the Bed(ESTJ),Shock(ENFJ),Jack Skellington(ENTP),Barrel(ENTP),Barrel(ENTP),Santa Claus(ISFJ),Black Cat(ISTP),Behemoth(ISTP),Wolfman(ISTP),Sally(INFJ),Doctor Finkelstein(INTJ),Creature Under the Stairs(INTJ),",   The Nightmare Before Christmas (1993)
56,"Tamatoa(ESFP),Maui(ESTP),Chief Tui(ESTJ),Moana Waialiki(ENFJ),Te Fiti(ENFJ),Kakamora(ENTP),Hei Hei(ISFP),Te Ka(ISTP),Pua(INFP),Grandma Tala(INFJ),",   Moana (2016)
57,"Heloise(ESFP),The countess(ESFJ),The countess(ESFJ),Sophie(ISFJ),Marianne(ISTJ),",   Portrait of a Lady on Fire (2019)
58,"Dionne Davenport(ESFP),Christian(ESFP),Elton(ESFP),Elton(ESFP),Cher Horowitz(ESFJ),Amber Mariens(ESTP),Melvin “Mel” Horowitz(ESTJ),Melvin “Mel” Horowitz(ESTJ),Melvin “Mel” Horowitz(ESTJ),Tai Frasier(ISFP),Josh Lucas(INTP),",   Clueless (1995)
59,"Scuttle(ESFP),Adella(ESFP),Adella(ESFP),Marina Del Rey(ESFP),Andrina(ESTP),Louis(ESTP),King Triton(ESTJ),Ariel(ENFP),Tip(ENTP),Ursula(ENTJ),Vanessa(ENTJ),Prince Eric(ISFP),Benjamin(ISFP),Flounder(ISFJ),Alana(ISFJ),Queen Athena(ISFJ),Aquata(ISTP),Undertow(ISTP),Flotsam & Jetsam(ISTP),Sebastian(ISTJ),Attina(ISTJ),Melody(INFP),Arista(INFP),Morgana(INTJ),",   The Little Mermaid (1989)
60,"Dolores Haze ""Lolita""(ESFP),Charlotte Haze(ESFJ),Clare Quilty(ENTP),Humbert Humbert(INFJ),",   Lolita (1997)
61,"Dru(ESFP),Herb Overkill(ESFP),El Macho(ESTP),Balthazar Bratt(ESTP),Miss Hattie(ESTJ),Agnes(ENFP),Lucy Wilde(ENFP),Dave(ENFP),Vector(ENTP),Stuart(ENTP),Kevin(ENTJ),Scarlet Overkill(ENTJ),Antonio Perez(ISFP),Fritz(ISFJ),Edith(ISTP),Margo(ISTJ),Jerry(INFP),Bob(INFJ),Dr. Nefario(INTP),Felonius Gru(INTJ),",   Despicable Me
62,"Tommy Williams(ESFP),Tommy Williams(ESFP),Fresh Fish Con(ESFP),Andy Dufresne's Wife(ESFP),Bank Teller(ESFJ),1954 Food - Way Woman(ESFJ),Moresby Batter(ESFJ),Byron Hadley(ESTP),Bogs Diamond(ESTP),Elmo Blatch(ESTP),Pete(ESTP),Ned Grimes(ESTP),Head Bull Haig(ESTP),Warden Norton(ESTJ),Warden Norton(ESTJ),Man Missing Guard(ESTJ),Bank Manager(ESTJ),Floyd(ISFP),Floyd(ISFP),Fat ass(ISFP),Brooks Hatlen(ISFJ),Tyrell(ISFJ),1954 Landlady(ISFJ),Guard Wiley(ISFJ),Projectionist(ISFJ),Elderly Hole Guard(ISFJ),Duty Guard(ISFJ),Bugle Editor(ISFJ),Ellis Boyd 'Red' Redding(ISTP),Heywood(ISTP),Mail Caller(ISTP),1967 Food - Way Manager(ISTP),1946 Judge(ISTJ),1946 D. A.(ISTJ),1967 Parole Hearings Man(ISTJ),1957 Parole Hearings Man(ISTJ),Guard Dekins(ISTJ),Hole Guard(ISTJ),Bullhorn Tower Guard(ISTJ),1954 Food - Way Manager(ISTJ),1966 D. A.(ISTJ),1947 Parole Hearings Man(ISTJ),Andy Dufresne(INTJ),",   The Shawshank Redemption (1994)
63,"Lydia Bennet(ESFP),Charles Bingley(ESFJ),Mrs. Bennet(ESFJ),Catherine ""Kitty"" Bennet(ESFJ),Catherine ""Kitty"" Bennet(ESFJ),George Wickham(ESTP),Catherine de Bourgh(ESTJ),Catherine de Bourgh(ESTJ),Caroline Bingley(ESTJ),Elizabeth Bennet(ENFP),Jane Bennet(ISFJ),Mrs. Gardiner(ISFJ),Mr. Collins(ISTJ),Charlotte Lucas(ISTJ),Mary Bennet(INFP),Colonel Fitzwilliam(INFJ),Mr. Bennet(INTP),Fitzwilliam Darcy(INTJ),",   Pride and Prejudice (2005)
64,"Gigi(ESFP),Annabel ""Triple A""(ESFJ),Ryan(ESTP),Alan(ESTP),Jared(ENFP),Miss Fine(ENFJ),Molly Davidson(ENTJ),George(ENTJ),Hope(ISTP),Amy Antsler(INFJ),Pat The Pizza Guy(INTP),",   Booksmart (2019)
65,"Dim(ESFP),Mrs. Alexander(ESFJ),Prison Chaplain(ESFJ),Chief Guard Barnes(ESTJ),Georgie(ESTJ),Georgie(ESTJ),Alex DeLarge(ENTP),Tramp(ISFP),Samuel García(ISFP),Deltoid(ISFJ),Deltoid(ISFJ),Mum(ISFJ),Mum(ISFJ),Mum(ISFJ),Joe the Lodger(ISTJ),Dr. Brodsky(INFJ),Mr. Alexander(INTJ),",   A Clockwork Orange (1971)
66,"Cruella de Vil(ESFP),Chloe Simon(ESFP),Nanny(ESFJ),Jasper(ESTP),Jasper(ESTP),Pongo(ENFJ),Roger(ISFP),Horace(ISTP),",   101 Dalmatians (1996)
67,"Goofy(ESFP),Pete(ESTP),Tank(ESTP),Bradley Uppercrust, III(ENTJ),Roxanne(ISFJ),Roxanne(ISFJ),P.J. Pete(ISFJ),P.J. Pete(ISFJ),Sylvia Marpole(ISFJ),Max Goof(ISTP),Beret Girl(INFJ),",   A Goofy Movie (1995)
68,"Roman Pearce(ESFP),Firuz(ESFP),Marshal Dinkley(ESFP),Dom Toretto(ESFJ),Letty Ortiz(ESTP),Vince(ESTP),Vince(ESTP),Owen Shaw(ESTP),Connor Rhodes(ESTP),Klaus(ESTP),Korpi(ESTP),Tsoi(ESTP),Carter Verone(ESTJ),Carter Verone(ESTJ),Hernan Reyes(ESTJ),Mose Jakande(ESTJ),Tego Leo(ENFP),Tego Leo(ENFP),Agent Locke(ENTP),Luke Hobbs(ENTJ),Mr. Nobody(ENTJ),Brian O'Connor(ISFP),Han Seoul-Oh(ISFP),Rico Santos(ISFP),Suki(ISFP),Rico Santos(ISFP),Rico Santos(ISFP),Jimmy(ISFP),Neela(ISFP),Eric Reisner(ISFP),Mia Toretto(ISFJ),Mia Toretto(ISFJ),Deckard Shaw(ISTP),Gisele Yashar(ISTP),Sean Boswell(ISTP),Sean Boswell(ISTP),Hattie Shaw(ISTP),Hattie Shaw(ISTP),Takashi(ISTP),Kiet(ISTP),Vegh(ISTP),Fenix Calderon(ISTP),Adolfson(ISTP),Jah(ISTP),Leon(ISTP),Johnny Tran(ISTJ),Kara(ISTJ),Ivory(ISTJ),Riley Hicks(ISTJ),Elena Neves(INFJ),Tej Parker(INTP),Professor Andreiko(XXXX),Ramsey(INTJ),Cipher(INTJ),Cipher(INTJ),Arturo Braga(INTJ),",   The Fast and the Furious
69,"The Cowardly Lion(ESFP),Dorothy Gale(ESFJ),Aunt Em(ESTJ),Miss Gulch(ESTJ),The Wizard(ENFP),The Wizard(ENFP),Glinda(ENFJ),The Scarecrow(ENTP),Flying Monkeys(ENTP),Toto(ISFJ),The Tin Man(INFP),Wicked Witch of the West(INTJ),",   The Wizard of Oz (1939)
70,"Yolanda (Honey Bunny)(ESFP),Yolanda (Honey Bunny)(ESFP),Pumpkin(ESTP),Jody(ESTP),Jody(ESTP),Zed(ESTP),Captain Koons(ESTJ),Jules Winnfield(ENFJ),Mia Wallace(ENTP),Lance(ENTP),Winston Wolf(ENTJ),Marvin(ISFP),Maynard(ISFP),Vincent Vega(ISTP),Butch Coolidge(ISTP),Esmarelda Villalobos(ISTP),Brett(ISTJ),Fabienne(INFP),Marcellus Wallace(INTJ),",   Pulp Fiction (1994)
71,"Leslie Chow(ESFP),Phil Wenneck(ESTP),Melissa(ESTJ),Melissa(ESTJ),Doug Billings(ENFJ),Sid Garner(ENTJ),Sid Garner(ENTJ),Stu Price(ISFJ),Alan Garner(INFP),",   The Hangover Trilogy
72,"Eep(ESFP),Hope Betterman(ESFJ),Gran(ESTP),Gran(ESTP),Sash(ENFP),Guy(ENTP),Phil Betterman(ENTJ),Ugga(ISFP),Ugga(ISFP),Thunk(ISFP),Grug(ISTJ),Dawn Betterman(INFJ),Belt(INTP),Creepo Monkey(XXXX),",   The Croods (2013)
73,"Recep İvedik(ESFP),",   Recep İvedik
74,"Jay(ESFP),Gil(ESFP),Audrey(ESFJ),Chad(ESTP),Dizzy(ENFP),Dizzy(ENFP),Evie(ENFJ),Ben(ENFJ),Fairly Godmother(ENFJ),Fairly Godmother(ENFJ),Harry Hook(ENTP),Hades(ENTP),Celia(ENTP),Celia(ENTP),Maleficent(ENTJ),King Adam(ENTJ),Mal(ISFP),Lonnie(ISFP),Queen Belle(ISFJ),Jane(ISTJ),Dr Facilier(ISTJ),Carlos de Vil(INFP),Doug(INTP),",   Descendants
75,"Félicie(ESFP),Camille(ESTJ),Victor(ENTP),Victor(ENTP),Odette(INFJ),Louis Merante(INTJ),",   Leap! / Ballerina (2016)
76,"Tree Gelbman(ESFP),Lori Spengler(ISFP),Lori Spengler(ISFP),Carter Davis(ISFJ),Dre Morgan(ISTP),Ryan Phan(INTP),",   Happy Death Day
77,"Joyce(ESFP),Peg Boggs(ESFJ),Jim(ESTP),Kevin Boggs(ENTP),Bill Boggs(ISTJ),Bill Boggs(ISTJ),Edward Scissorhands(INFP),The inventor(INFJ),",   Edward Scissorhands (1990)
78,"Tonya Harding(ESFP),Shawn Eckhardt(ENTP),Diane Rawlinson(ISFJ),Jeff Gillooly(ISTP),LaVona Golden(ISTJ),","   I, Tonya (2017)"
79,"Danny(ESFP),Charlene ""Cha-Cha"" Di Gregorio(ESFP),Jan(ESFP),Sonny LaTieri(ESFP),Doody(ESFP),Coach Vince Calhoun(ESFJ),Marty Maraschino(ESFJ),Patty Simcox(ESFJ),Leo ""Craterface"" Balmudo(ESTP),Principal McGee(ESTJ),Frenchie(ENFP),Secretary Blanche Hode(ENFP),Putzie(ISFP),Sandy(ISFJ),Mrs. Murdock(ISFJ),Tom Chisum(ISTP),Eugene Felsnick(ISTJ),",   Grease (1978)
80,"Nux(ESFP),Wez(ESFP),Auntie Entity(ENFJ),Toecutter(ENTP),Gyro Captain(ENTP),Imperator Furiosa(ENTJ),Immortan Joe(ENTJ),Immortan Joe(ENTJ),Ironbar(ISFJ),Max Rockatansky(ISTP),The Dag(INFP),The Splendid Angharad(INFJ),Toast the Knowing(INTP),",   Mad Max
